country,year,energy_type,energy_subtype,amount
United Arab Emirates,2015,Low Carbon,Wind,0.008
United Arab Emirates,2015,Low Carbon,Other Renewable,0.015
United Arab Emirates,2015,Low Carbon,Nuclear,0.0
United Arab Emirates,2016,Fossil Fuel,Coal,21.406
United Arab Emirates,2016,Fossil Fuel,Gas,727.255
United Arab Emirates,2016,Fossil Fuel,Oil,544.394
United Arab Emirates,2016,Low Carbon,Biofuel,0.0
United Arab Emirates,2016,Low Carbon,Hydro,0.0
United Arab Emirates,2016,Low Carbon,Solar,0.853
United Arab Emirates,2016,Low Carbon,Wind,0.004
United Arab Emirates,2016,Low Carbon,Other Renewable,0.015
United Arab Emirates,2016,Low Carbon,Nuclear,0.0
United Kingdom,2000,Fossil Fuel,Coal,427.148
United Kingdom,2000,Fossil Fuel,Gas,1013.418
