iso_code,country,year,gdp,population,fossil_fuel_consumption,coal_consumption,coal_production,gas_consumption,gas_production,oil_consumption,oil_production,low_carbon_consumption,renewables_consumption,biofuel_consumption,hydro_consumption,solar_consumption,wind_consumption,other_renewable_consumption,nuclear_consumption
GRC,Greece,2002,279000000000.0,11182000.0,372.126,104.366,99.81,20.805,0.0,246.955,0.0,9.808,9.808,0.0,7.677,0.0,1.785,0.345,0.0
GRC,Greece,2003,278000000000.0,11219000.0,385.401,104.928,95.087,23.52,0.0,256.954,0.0,16.052,16.052,0.0,12.984,0.0,2.782,0.286,0.0
GRC,Greece,2004,289000000000.0,11235000.0,386.082,107.558,99.399,25.855,0.0,252.669,0.0,16.017,16.017,0.0,12.647,0.003,3.035,0.333,0.0
GRC,Greece,2005,282000000000.0,11225000.0,387.129,106.098,99.297,26.033,0.0,254.998,0.0,17.231,17.231,0.0,13.495,0.003,3.405,0.328,0.0
GRC,Greece,2006,303000000000.0,11185000.0,396.893,97.707,95.021,30.693,0.0,268.493,0.0,20.526,20.526,0.0,15.677,0.003,4.541,0.305,0.0
GRC,Greece,2007,311000000000.0,11120000.0,412.857,103.016,97.565,38.868,0.0,270.973,0.0,12.203,12.203,0.0,6.882,0.003,4.829,0.489,0.0
GRC,Greece,2008,322000000000.0,11040000.0,394.938,96.969,94.546,40.527,0.0,257.442,0.0,15.179,15.179,0.0,8.743,0.013,5.918,0.504,0.0
GRC,Greece,2009,320000000000.0,10959000.0,375.129,98.008,95.086,34.031,0.0,243.089,0.0,21.473,21.473,0.0,14.098,0.131,6.671,0.572,0.0
GRC,Greece,2010,300000000000.0,10888000.0,349.4,91.506,85.078,37.296,0.0,220.599,0.0,27.435,27.435,0.0,19.451,0.412,7.076,0.495,0.0
GRC,Greece,2011,269000000000.0,10829000.0,346.312,91.85,87.282,45.99,0.0,208.473,0.0,21.102,21.102,0.0,10.394,1.581,8.591,0.536,0.0
GRC,Greece,2012,262000000000.0,10781000.0,321.107,94.659,93.56,42.268,0.0,184.18,0.0,26.147,26.147,0.0,11.341,4.363,9.917,0.525,0.0
GRC,Greece,2013,270000000000.0,10741000.0,291.783,81.261,78.25,37.307,0.0,173.214,0.0,36.737,36.737,0.0,16.247,9.34,10.597,0.553,0.0
GRC,Greece,2014,264000000000.0,10701000.0,278.031,78.098,74.248,28.443,0.0,171.49,0.0,30.989,30.989,0.0,11.391,9.65,9.388,0.56,0.0
GRC,Greece,2015,264000000000.0,10660000.0,273.436,65.441,66.003,30.714,0.0,177.282,0.0,37.567,37.567,0.0,15.427,9.866,11.69,0.584,0.0
GRC,Greece,2016,264000000000.0,10615000.0,268.365,50.692,46.201,39.978,0.0,177.694,0.0,37.453,37.453,0.0,13.94,9.883,12.941,0.689,0.0
HKG,Hong Kong,2000,251000000000.0,6606000.0,197.475,50.45,0.0,28.137,0.0,118.889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG,Hong Kong,2001,268000000000.0,6665000.0,249.42,79.688,0.0,28.397,0.0,141.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG,Hong Kong,2002,289000000000.0,6702000.0,243.433,61.989,0.0,26.978,0.0,154.467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG,Hong Kong,2003,296000000000.0,6725000.0,251.406,78.615,0.0,17.348,0.0,155.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG,Hong Kong,2004,342000000000.0,6745000.0,281.527,73.406,0.0,25.061,0.0,183.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG,Hong Kong,2005,335000000000.0,6770000.0,270.091,79.862,0.0,25.119,0.0,165.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HKG,Hong Kong,2006,334000000000.0,6802000.0,285.751,79.734,0.0,27.557,0.0,178.46,0.0,0.002,0.002,0.0,0.0,0.0,0.002,0.0,0.0
HKG,Hong Kong,2007,356000000000.0,6840000.0,304.012,86.998,0.0,25.744,0.0,191.27,0.0,0.002,0.002,0.0,0.0,0.0,0.002,0.0,0.0
HKG,Hong Kong,2008,308000000000.0,6882000.0,282.851,79.722,0.0,29.781,0.0,173.349,0.0,0.002,0.002,0.0,0.0,0.0,0.002,0.0,0.0
HKG,Hong Kong,2009,293000000000.0,6925000.0,308.856,83.248,0.0,28.923,0.0,196.685,0.0,0.003,0.003,0.0,0.0,0.0,0.003,0.0,0.0
HKG,Hong Kong,2010,311000000000.0,6966000.0,321.004,72.423,0.0,35.943,0.0,212.638,0.0,0.244,0.244,0.0,0.0,0.001,0.003,0.24,0.0
HKG,Hong Kong,2011,311000000000.0,7007000.0,328.88,86.147,0.0,28.625,0.0,214.107,0.0,0.206,0.206,0.0,0.0,0.002,0.002,0.202,0.0
HKG,Hong Kong,2012,315000000000.0,7047000.0,316.295,84.797,0.0,26.359,0.0,205.139,0.0,0.234,0.234,0.0,0.0,0.002,0.003,0.229,0.0
HKG,Hong Kong,2013,380000000000.0,7089000.0,324.769,90.376,0.0,24.833,0.0,209.559,0.0,0.241,0.241,0.0,0.0,0.003,0.002,0.236,0.0
HKG,Hong Kong,2014,326000000000.0,7135000.0,317.337,94.726,0.0,23.87,0.0,198.74,0.0,0.267,0.267,0.0,0.0,0.003,0.002,0.262,0.0
HKG,Hong Kong,2015,334000000000.0,7186000.0,326.24,77.901,0.0,30.456,0.0,217.883,0.0,0.26,0.26,0.0,0.0,0.003,0.002,0.256,0.0
HKG,Hong Kong,2016,340000000000.0,7244000.0,334.841,77.895,0.0,31.266,0.0,225.68,0.0,0.258,0.258,0.0,0.0,0.002,0.001,0.254,0.0
HUN,Hungary,2000,151000000000.0,10221000.0,239.706,44.993,38.562,112.308,0.0,82.405,0.0,40.064,0.675,0.0,0.494,0.0,0.0,0.181,39.389
HUN,Hungary,2001,162000000000.0,10193000.0,248.105,42.75,35.136,124.565,0.0,80.791,0.0,39.693,0.709,0.0,0.513,0.0,0.003,0.193,38.984
HUN,Hungary,2002,172000000000.0,10167000.0,244.757,41.247,34.421,125.727,0.0,77.784,0.0,38.908,0.65,0.0,0.532,0.0,0.003,0.115,38.258
HUN,Hungary,2003,173000000000.0,10141000.0,254.657,42.211,35.545,138.235,0.0,74.212,0.0,30.919,0.915,0.0,0.466,0.0,0.011,0.439,30.003
HUN,Hungary,2004,172000000000.0,10114000.0,252.826,40.024,27.068,136.213,0.0,76.589,0.0,34.788,2.534,0.0,0.555,0.0,0.016,1.963,32.254
HUN,Hungary,2005,178000000000.0,10086000.0,264.978,35.594,20.331,140.653,0.0,88.732,0.0,42.242,5.03,0.0,0.543,0.0,0.027,4.46,37.212
HUN,Hungary,2006,184000000000.0,10056000.0,262.593,35.729,20.429,133.242,0.0,93.622,0.0,39.971,3.991,0.0,0.497,0.0,0.115,3.379,35.981
HUN,Hungary,2007,188000000000.0,10024000.0,254.107,36.335,20.618,124.497,0.0,93.275,0.0,43.988,5.002,0.0,0.558,0.0,0.292,4.152,38.986
HUN,Hungary,2008,195000000000.0,9992000.0,246.735,35.294,19.696,122.823,0.0,88.619,0.0,45.338,6.222,0.0,0.562,0.003,0.541,5.116,39.116
HUN,Hungary,2009,198000000000.0,9959000.0,219.582,29.717,18.097,106.436,0.0,83.428,0.0,48.064,7.595,0.0,0.598,0.003,0.868,6.126,40.469
HUN,Hungary,2010,204000000000.0,9927000.0,224.2,31.309,18.53,114.154,0.0,78.737,0.0,48.951,7.856,0.0,0.49,0.003,1.374,5.989,41.095
HUN,Hungary,2011,208000000000.0,9896000.0,224.259,31.548,19.137,109.135,0.0,83.576,0.0,47.665,7.018,0.0,0.575,0.003,1.622,4.818,40.647
HUN,Hungary,2012,208000000000.0,9864000.0,204.831,30.353,18.683,97.4,0.0,77.078,0.0,47.498,6.819,0.0,0.549,0.021,1.986,4.263,40.679
HUN,Hungary,2013,216000000000.0,9834000.0,193.445,26.577,18.744,90.801,0.0,76.067,0.0,46.488,7.138,0.0,0.545,0.064,1.838,4.69,39.35
HUN,Hungary,2014,225000000000.0,9805000.0,192.103,26.271,18.468,81.196,0.0,84.635,0.0,47.842,8.018,0.0,0.766,0.171,1.671,5.41,39.824
HUN,Hungary,2015,232000000000.0,9778000.0,204.052,27.226,17.658,87.107,0.0,89.719,0.0,48.226,8.169,0.0,0.592,0.357,1.753,5.467,40.057
HUN,Hungary,2016,236000000000.0,9753000.0,207.829,25.507,17.009,93.362,0.0,88.96,0.0,48.566,8.193,0.0,0.651,0.614,1.72,5.208,40.372
ISL,Iceland,2000,10012029952.0,280000.0,10.698,1.1,0.0,0.0,0.0,9.599,0.0,21.314,21.314,0.0,17.64,0.0,0.0,3.674,0.0
ISL,Iceland,2001,10430144512.0,283000.0,10.201,1.193,0.0,0.0,0.0,9.008,0.0,22.143,22.143,0.0,18.139,0.0,0.0,4.004,0.0
ISL,Iceland,2002,10524290048.0,285000.0,10.559,1.188,0.0,0.0,0.0,9.37,0.0,23.035,23.035,0.0,19.113,0.0,0.0,3.922,0.0
ISL,Iceland,2003,10166153216.0,288000.0,10.638,1.167,0.0,0.0,0.0,9.471,0.0,23.122,23.122,0.0,19.295,0.0,0.0,3.827,0.0
ISL,Iceland,2004,10772171776.0,291000.0,11.129,1.222,0.0,0.0,0.0,9.907,0.0,23.319,23.319,0.0,19.306,0.0,0.0,4.013,0.0
ISL,Iceland,2005,10844063744.0,295000.0,11.256,1.167,0.0,0.0,0.0,10.09,0.0,23.333,23.333,0.0,18.87,0.0,0.0,4.463,0.0
ISL,Iceland,2006,10504720384.0,300000.0,11.453,1.194,0.0,0.0,0.0,10.259,0.0,26.52,26.52,0.0,19.483,0.0,0.0,7.037,0.0
ISL,Iceland,2007,11295209472.0,305000.0,11.57,1.278,0.0,0.0,0.0,10.292,0.0,31.807,31.807,0.0,22.296,0.0,0.0,9.511,0.0
ISL,Iceland,2008,12663198720.0,311000.0,10.64,1.111,0.0,0.0,0.0,9.529,0.0,43.465,43.465,0.0,32.805,0.0,0.0,10.659,0.0
ISL,Iceland,2009,12433164288.0,316000.0,9.861,1.028,0.0,0.0,0.0,8.833,0.0,44.159,44.159,0.0,32.214,0.0,0.0,11.945,0.0
ISL,Iceland,2010,11611769856.0,320000.0,9.543,1.083,0.0,0.0,0.0,8.459,0.0,44.475,44.475,0.0,32.832,0.0,0.0,11.643,0.0
ISL,Iceland,2011,11720059904.0,323000.0,9.428,1.083,0.0,0.0,0.0,8.345,0.0,44.595,44.595,0.0,32.411,0.0,0.0,12.184,0.0
ISL,Iceland,2012,12108440576.0,326000.0,9.363,1.108,0.0,0.0,0.0,8.255,0.0,45.194,45.194,0.0,31.776,0.0,0.0,13.418,0.0
